,uid,history,prob
14905,36680957,"且听凤鸣High, 运动吧少年High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 小妇人LittleWomenHigh",0.8999999999999999
14906,38804174,"且听凤鸣High, 锦绣南歌High, 时代我High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 全世界最好的你High, 热血同行High, 小妇人LittleWomenHigh",1.0000000000000002
14907,4580097,"且听凤鸣High, 时代我High, 锦绣南歌High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 全世界最好的你High, 热血同行High, 小妇人LittleWomenHigh",1.0000000000000002
14908,2137259,"且听凤鸣High, 天舞纪High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14909,46166579,"且听凤鸣High, 天舞纪High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14910,46591559,"且听凤鸣High, 天舞纪High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14911,51313521,"且听凤鸣High, 天舞纪High, 锦绣南歌High, 河神2High, 少年之名High, 民初奇人传High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 小妇人LittleWomenHigh",0.9090909090909091
14912,fenzy,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 少年之名High, 幸福触手可及High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",0.8181818181818182
14913,4812484,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 河神2High, 少年之名High, 塞上风云记High, 哪吒降妖记High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",0.8153742483272114
14914,29401508,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh",0.960768922830523
14915,2556646,"且听凤鸣High, 天舞纪High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh",0.960768922830523
14916,36795718,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14917,74380939,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14918,fengshengheli_7,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0
14919,40645396,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Medium, 河神2High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 小妇人LittleWomenHigh",0.8770580193070292
14920,52177782,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Low, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 小妇人LittleWomenHigh",0.8215838362577494
14921,51905063,"河神2High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.8744746321952063
14922,51904737,"霍家拳之铁臂娇娃High, 忘不了餐厅第二季High, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh, 将夜2High",0.939336436627724
14923,fluffy1988529,"霍家拳之铁臂娇娃High, 河神2High, 锦绣南歌High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.939336436627724
14925,45048062,"且听凤鸣High, 锦绣南歌High, 河神2High, 少年之名High, 夺皮High, 对白第三季High, 塞上风云记High, 幸福触手可及High, 极限挑战第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",0.8006407690254358
14926,41814209,"且听凤鸣High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9230769230769229
14927,42502397,"且听凤鸣High, 花样实习生High, 霍家拳之铁臂娇娃High, 锦绣南歌High, 河神2High, 少年之名High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9230769230769229
14928,13935995,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 花样实习生High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.8593378488473195
14929,3728547,"且听凤鸣High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0000000000000002
14930,52577798,"且听凤鸣High, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 热血同行High, 不完美的她High, 小妇人LittleWomenHigh",1.0000000000000002
14931,58338731,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14932,3797723,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 少年之名High, 对白第三季High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14933,42480374,"且听凤鸣High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 河神2High, 少年之名High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.8807048459279794
14934,2972230,"且听凤鸣High, 天舞纪High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 河神2High, 哪吒降妖记High, 少年之名High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.8685990362153793
14935,52157806,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 河神2High, 锦绣南歌High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14936,52169578,"且听凤鸣High, 河神2High, 霍家拳之铁臂娇娃Medium, 锦绣南歌High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",1.0
14937,53066843,"且听凤鸣High, 霍家拳之铁臂娇娃Medium, 河神2High, 锦绣南歌High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.9375
14938,aidai524,"且听凤鸣High, 河神2High, 霍家拳之铁臂娇娃Low, 锦绣南歌High, 哪吒降妖记High, 少年之名High, 对白第三季High, 清平乐High, 幸福触手可及High, 极限挑战第六季High, 欢乐喜剧人第六季High, 歌手当打之年High, 不完美的她High, 热血同行High, 三千鸦杀High, 小妇人LittleWomenHigh",0.968245836551854
